iter	Passed	Remaining
310	1235	2737
311	1237	2728
312	1239	2720
313	1243	2716
314	1245	2708
315	1247	2699
316	1249	2691
317	1251	2683
318	1253	2675
319	1255	2667
320	1260	2666
321	1262	2658
322	1264	2650
323	1266	2642
324	1268	2634
325	1270	2625
326	1274	2623
327	1276	2616
328	1279	2609
329	1281	2601
330	1283	2593
331	1285	2585
332	1289	2582
333	1292	2576
334	1294	2570
335	1297	2563
336	1299	2557
337	1303	2553
338	1305	2545
339	1307	2538
340	1312	2535
341	1314	2528
342	1316	2521
343	1318	2514
344	1320	2506
345	1322	2499
346	1324	2492
347	1328	2489
348	1330	2481
349	1332	2474
350	1334	2466
351	1335	2459
352	1337	2452
353	1340	2445
354	1343	2440
355	1345	2433
356	1347	2426
357	1349	2419
358	1351	2412
359	1353	2405
360	1357	2403
361	1359	2396
362	1361	2389
363	1363	2382
364	1365	2375
365	1367	2368
366	1371	2365
367	1374	2361
368	1377	2356
369	1382	2353
370	1383	2346
371	1389	2345
372	1391	2338
373	1393	2331
374	1395	2325
375	1396	2318
376	1398	2311
377	1403	2309
378	1405	2302
379	1407	2295
380	1408	2289
381	1411	2282
382	1413	2276
383	1415	2270
384	1419	2267
385	1421	2260
386	1423	2254
387	1425	2247
388	1427	2241
389	1429	2236
390	1436	2237
391	1439	2232
392	1441	2226
393	1443	2220
394	1445	2213
395	1450	2211
396	1452	2205
397	1454	2199
398	1456	2194
399	1458	2187
400	1460	2181
401	1464	2178
402	1467	2174
403	1470	2169
404	1474	2166
405	1476	2160
406	1481	2159
407	1484	2153
408	1485	2147
409	1487	2141
410	1489	2135
411	1492	2129
412	1496	2127
413	1498	2121
414	1500	2115
415	1502	2109
416	1504	2103
417	1506	2097
418	1510	2094
419	1512	2088
420	1514	2083
421	1516	2077
422	1518	2071
423	1520	2065
424	1522	2060
425	1527	2058
426	1529	2052
427	1531	2046
428	1533	2041
429	1535	2035
430	1537	2029
431	1542	2028
432	1544	2022
433	1546	2017
434	1549	2012
435	1551	2006
436	1553	2000
437	1558	1999
438	1560	1994
439	1563	1989
440	1567	1986
441	1569	1980
442	1574	1979
443	1576	1974
444	1578	1968
445	1580	1963
446	1582	1957
447	1584	1952
448	1588	1949
449	1591	1944
450	1592	1939
451	1594	1933
452	1596	1927
453	1598	1922
454	1600	1917
455	1602	1911
456	1604	1906
457	1606	1901
458	1608	1895
459	1610	1890
460	1612	1884
461	1616	1882
462	1618	1877
463	1620	1872
464	1622	1867
465	1624	1861
466	1626	1856
467	1628	1851
468	1633	1848
469	1634	1843
470	1636	1838
471	1638	1832
472	1640	1827
473	1642	1822
474	1643	1816
475	1650	1816
476	1653	1812
477	1654	1807
478	1656	1802
479	1658	1797
480	1664	1796
481	1667	1792
482	1670	1787
483	1674	1784
484	1679	1783
485	1681	1777
486	1683	1772
487	1685	1767
488	1687	1763
489	1689	1758
490	1694	1756
491	1696	1751
492	1698	1746
493	1699	1741
494	1701	1736
495	1703	1731
496	1705	1725
497	1710	1723
498	1712	1719
499	1714	1714
500	1715	1709
501	1717	1704
502	1719	1699
503	1721	1694
504	1726	1692
505	1728	1687
506	1730	1682
507	1732	1677
508	1734	1672
509	1736	1668
510	1740	1665
511	1742	1660
512	1744	1656
513	1746	1651
514	1748	1646
515	1750	1641
516	1752	1636
517	1758	1636
518	1761	1632
519	1765	1629
520	1766	1624
521	1772	1622
522	1773	1617
523	1775	1613
524	1777	1608
525	1779	1603
526	1781	1599
527	1783	1594
528	1785	1589
529	1787	1585
530	1789	1580
531	1791	1575
532	1792	1570
533	1794	1566
534	1799	1564
535	1801	1559
536	1803	1554
537	1805	1550
538	1807	1545
539	1808	1540
540	1810	1536
541	1815	1533
542	1816	1529
543	1818	1524
544	1820	1519
545	1822	1515
546	1824	1510
547	1826	1506
548	1830	1503
549	1832	1499
550	1834	1494
551	1836	1490
552	1838	1485
553	1840	1481
554	1841	1476
555	1847	1475
556	1849	1470
557	1850	1466
558	1852	1461
559	1854	1457
560	1856	1452
561	1860	1450
562	1863	1446
563	1866	1442
564	1870	1440
565	1872	1435
566	1877	1433
567	1879	1429
568	1881	1425
569	1883	1420
570	1885	1416
571	1886	1411
572	1892	1409
573	1894	1405
574	1896	1401
575	1899	1398
576	1902	1394
577	1907	1392
578	1909	1388
579	1911	1384
580	1913	1379
581	1915	1375
582	1916	1371
583	1918	1366
584	1921	1362
585	1922	1358
586	1924	1354
587	1926	1349
588	1928	1345
589	1930	1341
590	1932	1337
591	1937	1335
592	1939	1331
593	1941	1326
594	1943	1322
595	1945	1318
596	1947	1314
597	1952	1312
598	1955	1308
599	1957	1305
600	1961	1302
601	1965	1299
602	1967	1295
603	1969	1291
604	1971	1287
605	1973	1282
606	1974	1278
607	1976	1274
608	1981	1272
609	1983	1268
610	1985	1264
611	1987	1260
612	1989	1255
613	1991	1251
614	1992	1247
615	1997	1245
616	1999	1241
617	2001	1237
618	2003	1233
619	2005	1229
620	2007	1225
621	2011	1222
622	2013	1218
623	2015	1214
624	2017	1210
625	2019	1206
626	2020	1202
627	2022	1198
628	2027	1195
629	2029	1191
630	2031	1187
631	2033	1184
632	2035	1179
633	2037	1176
634	2039	1172
635	2043	1169
636	2045	1165
637	2047	1161
638	2049	1157
639	2051	1153
640	2052	1149
641	2054	1145
642	2060	1143
643	2063	1140
644	2065	1137
645	2069	1133
646	2074	1131
647	2075	1127
648	2077	1123
649	2079	1119
650	2081	1115
651	2083	1112
652	2085	1108
653	2089	1105
654	2091	1101
655	2093	1097
656	2095	1093
657	2097	1090
658	2099	1086
659	2101	1082
660	2103	1078
661	2105	1074
662	2107	1071
663	2109	1067
664	2111	1063
665	2112	1059
666	2118	1057
667	2120	1053
668	2122	1050
669	2124	1046
670	2126	1042
671	2128	1038
672	2132	1036
673	2134	1032
674	2136	1028
675	2139	1025
676	2140	1021
677	2142	1017
678	2144	1013
679	2149	1011
680	2152	1008
681	2154	1004
682	2158	1001
683	2162	999
684	2164	995
685	2166	991
686	2168	987
687	2170	984
688	2172	980
689	2174	976
690	2178	974
691	2180	970
692	2182	966
693	2184	963
694	2187	959
695	2189	956
696	2193	953
697	2195	949
698	2197	946
699	2199	942
700	2201	938
701	2202	935
702	2204	931
703	2209	928
704	2211	925
705	2213	921
706	2215	918
707	2217	914
708	2219	910
709	2220	907
710	2225	904
711	2227	900
712	2229	897
713	2231	893
714	2233	890
715	2235	886
716	2239	883
717	2241	880
718	2243	876
719	2245	873
720	2247	869
721	2249	866
722	2251	862
723	2256	860
724	2259	857
725	2262	853
726	2266	851
727	2271	848
728	2273	845
729	2275	841
730	2277	838
731	2279	834
732	2281	830
733	2282	827
734	2287	824
735	2289	821
736	2291	817
737	2293	814
738	2295	810
739	2296	807
740	2298	803
741	2304	801
742	2305	797
743	2307	794
744	2309	790
745	2311	787
746	2313	783
747	2318	781
748	2320	777
749	2322	774
750	2323	770
751	2325	767
752	2328	763
753	2332	761
754	2334	757
755	2336	754
756	2339	750
757	2341	747
758	2343	744
759	2348	741
760	2351	738
761	2354	735
762	2358	732
763	2360	729
764	2366	726
765	2368	723
766	2370	719
767	2372	716
768	2376	713
769	2378	710
770	2380	707
771	2382	703
772	2384	700
773	2385	696
774	2387	693
775	2393	690
776	2396	687
777	2398	684
778	2403	681
779	2408	679
780	2410	675
781	2412	672
782	2414	669
783	2416	665
784	2417	662
785	2420	658
786	2424	656
787	2426	652
788	2428	649
789	2430	646
790	2432	642
791	2434	639
792	2437	636
793	2440	633
794	2442	629
795	2444	626
796	2446	623
797	2448	619
798	2450	616
799	2455	613
800	2457	610
801	2458	607
802	2460	603
803	2462	600
804	2464	596
805	2466	593
806	2470	590
807	2472	587
808	2474	584
809	2476	580
810	2478	577
811	2480	574
812	2486	571
813	2489	568
814	2491	565
815	2495	562
816	2500	560
817	2502	556
818	2504	553
819	2506	550
820	2507	546
821	2509	543
822	2512	540
823	2516	537
824	2518	534
825	2520	530
826	2522	527
827	2524	524
828	2526	521
829	2531	518
830	2533	515
831	2535	511
832	2537	508
833	2539	505
834	2541	502
835	2542	498
836	2547	496
837	2549	492
838	2551	489
839	2553	486
840	2555	483
841	2556	479
842	2558	476
843	2562	473
844	2565	470
845	2566	467
846	2568	464
847	2570	460
848	2572	457
849	2574	454
850	2580	451
851	2583	448
852	2585	445
853	2589	442
854	2595	440
855	2597	436
856	2598	433
857	2600	430
858	2602	427
859	2604	423
860	2607	421
861	2610	417
862	2612	414
863	2614	411
864	2615	408
865	2618	405
866	2619	401
867	2625	399
868	2627	396
869	2629	392
870	2631	389
871	2632	386
872	2634	383
873	2639	380
874	2641	377
875	2643	374
876	2645	370
877	2646	367
878	2648	364
879	2650	361
880	2655	358
881	2657	355
882	2659	352
883	2661	349
884	2663	346
885	2664	342
886	2666	339
887	2672	337
888	2675	334
889	2677	330
890	2681	328
891	2686	325
892	2688	322
893	2690	319
894	2692	315
895	2694	312
896	2696	309
897	2701	306
898	2703	303
899	2705	300
900	2708	297
901	2710	294
902	2712	291
903	2716	288
904	2718	285
905	2720	282
906	2722	279
907	2724	276
908	2726	272
909	2727	269
910	2732	266
911	2734	263
912	2736	260
913	2738	257
914	2740	254
915	2742	251
916	2746	248
917	2748	245
918	2751	242
919	2753	239
920	2755	236
921	2757	233
922	2759	230
923	2765	227
924	2768	224
925	2772	221
926	2775	218
927	2778	215
928	2780	212
929	2782	209
930	2784	206
931	2786	203
932	2791	200
933	2794	197
934	2796	194
935	2799	191
936	2801	188
937	2803	185
938	2806	182
939	2808	179
940	2810	176
941	2812	173
942	2814	170
943	2816	167
944	2821	164
945	2823	161
946	2825	158
947	2827	155
948	2829	152
949	2830	148
950	2835	146
951	2837	143
952	2839	140
953	2841	137
954	2843	133
955	2845	130
956	2850	128
957	2853	125
958	2856	122
959	2859	119
960	2862	116
961	2867	113
962	2869	110
963	2871	107
964	2873	104
965	2875	101
966	2877	98
967	2881	95
968	2883	92
969	2885	89
970	2887	86
971	2889	83
972	2891	80
973	2893	77
974	2898	74
975	2900	71
976	2902	68
977	2904	65
978	2906	62
979	2908	59
980	2913	56
981	2915	53
982	2917	50
983	2919	47
984	2921	44
985	2923	41
986	2927	38
987	2929	35
988	2932	32
989	2934	29
990	2936	26
991	2938	23
992	2943	20
993	2946	17
994	2949	14
995	2953	11
996	2955	8
997	2960	5
998	2962	2
999	2964	0
